title,label
The government did more to stop the distribution of ivermectin and hydroxychloroquine than to stop the distribution of fentanyl.,0
The 2022 CHIPS and Science Act “attracted $640 billion in private companies’ investments.”,0
Photo shows the Smokehouse Creek fire in Texas.,0
“Study reveals Bill Gates’ Fake Meat causes ‘turbo cancers’ in humans.”,0
"Donald Trump called his wife ""Mercedes"" instead of Melania.",0
Solar flares caused AT&T’s cellphone outage.,0
Taylor Swift said she “will leave the United States if Donald Trump becomes President in 2024.”,0
“North Carolina has the longest voting period in the country … and we have the most ways of voting.”,1
The ATF updated its background check policy to allow “illegal immigrants” to purchase firearms.,0
The American Red Cross asking blood donors about their vaccination status proves COVID-19 vaccines are dangerous.,0
"Removing gun-related homicides in Chicago, Detroit, Los Angeles, Philadelphia and St. Louis would drop the U.S. to 189th out of 193 countries in gun violence.",0
The states that have 97% of guns are the states with the least amount of gun violence.,0
There was an “attempt on Dr. Oz’s life” on TV over his diabetes cure.,0
Chicken farm fire that killed 12 million birds intentionally set.,0
The Kids Online Safety Act “would require everyone to upload your government ID in order to use most sites on the internet.”,0
"“The biggest threat to your unions is millions of people coming across the border, because you're not gonna have your jobs anymore.”",0
Johnnie Cochran “mysteriously passed away” and his death is linked to his work on slavery reparations.,0
The pictures we see of Mars are actually Devon Island in Canada.,0
Nevada database glitch showing voters cast ballots when they didn’t is evidence that voting by mail is “the largest source of potential voter fraud.”,0
"There is “clear scientific consensus” that “hormonal birth control makes you fat, doubles risk of depression and triples risk of suicide.”",0
"“We’ve seen an 800% increase in the Swanton sector, which is the part of the northern border that I represent, in illegal crossings.”",1
“Big drug companies charge as little as $7 for an inhaler overseas and nearly $500 for the exact same one here in the US.”,1
"Says Republican U.S. Senate candidate Eric Hovde claims he ""understands the tragedy of children being trafficked through Central America because he owns three homes there.""",0
Cloud seeding program connected to recent California storms.,0
Dwayne “The Rock” Johnson was booed in Las Vegas because he’s a Joe Biden supporter.,0
"Migrants in New York City are receiving prepaid debit cards with up to $10,000 and no restrictions.",0
"Donald Trump’s fine in the New York fraud case “is a form of Navalny, it is a form of communism or fascism.”",0
not english,0
"“Each year, more than $1 billion is stolen from” workers in New York state through wage theft.",1
"“NYC will give $1,000 taxpayer-funded credit cards to migrants.”",1
Photo shows Minnesota Sen. Amy Klobuchar and Minnesota Attorney General Keith Ellison posing at “Defund the Police” event.,0
"“TSA found with metal detectors nearly 7,000 firearms at airports last year — an all-time high.”",1
"“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”",1
President Joe Biden “directed New York AG Witch Hunt” into Donald Trump’s real estate.,0
President Joe Biden announced tax incentives for families willing to take in migrants in a new “Housing for Labor” initiative.,0
"Benjamin Netanyahu refused to take a microphone from an Arab official, suggesting his belief that Arabs “are unclean.”",0
“Trump’s hair wig falls off during rally speech!”,0
“Marijuana is currently classified in the same category of drugs as heroin and a more dangerous category than fentanyl or cocaine.”,1
"“At least one of Kansas City shooters identified as Sahil Omar, a 44 year old illegal immigrant.”",0
"""Google proves that no one ever went to the moon.”",0
A photograph shows Klaus Schwab nude at the beach.,0
Joe Biden or Donald Trump dropped out of the 2024 presidential race as of Feb 15.,0
Joe Biden’s tweet is proof that a helicopter crash that killed six Nigerian billionaires was planned by Biden.,0
"Says expanding Medicaid in Wisconsin would save the state $530 million, which could pay for 3,287 K-12 teachers, or 7.8 educators per district.",1
not english,0
“The Ukraine supplemental includes a hidden impeachment clause against President Trump.”,0
"Under Joe Biden, there are “record numbers of new Black entrepreneurs.”",1
"Protestors yelled “F--- Joe Biden” as the president arrived in Allentown, Pennsylvania.",0
The Bipartisan Safer Communities Act led to “a 12% reduction in urban homicides in this country.”,1
“Beyoncé faces nearly $10 billion loss following ‘Black national anthem’ performance at NFL.”,0
COVID-19 is caused by radiation poisoning.,0
Minnesota incarcerates “about a third of what Wisconsin does.”,1
Photo shows Ukrainian President Volodymyr Zelenskyy’s U.S. naturalization certificate.,0
"If a woman in Texas takes “abortion pills voluntarily,” she would be “charged with murder.”",0
Karine Jean-Pierre ended a White House press conference to avoid answering a question.,0
not english,0
"Food “costs 40%, 50%, 60% more than it did just a few years ago.”",0
"Arson, not climate change, caused Canada’s record 2023 wildfire season.",0
"Jason Kelce “arrived in Vegas, for the Superbowl, dressed as Alan from The Hangover.”",0
Photo shows Taylor Swift wearing an anti-Donald Trump T-shirt.,0
not english,0
An 1871 law made the United States government a for-profit corporation.,0
"Department of Homeland Security Secretary Alejandro Mayorkas' border policy is ""personally responsible"" for fentanyl crossing the border",0
"On classified documents in his possession, “none of it was high classified.”",0
King Charles’ cancer diagnosis is linked to mRNA cancer therapy trial in U.K.,0
Paper shows “mRNA COVID-19 vaccines caused more deaths” than lives saved.,0
“I cooperated far more” than Joe Biden in the classified documents investigations.,0
"""Ukraine puts Tucker Carlson on a ‘hit list’ after an interview with Vladimir Putin.”",0
"""NYC to give ILLEGALS $53 Million in Prepaid Credit Cards.""",0
not english,0
“The law in Wisconsin (on abortion time limit) is 20 weeks. That is way outside the international bounds.”,0
Ben Shapiro posted that Tracy Chapman stole “the spotlight from Luke (Combs)” at the Grammys as part of “the woke war on straight white male success”,0
Video shows “Putin refused to acknowledge Netanyahu.”,0
Postpartum Medicaid coverage expanded from three states to 43 states because of the Biden administration.,1
"Since Russia invaded Ukraine, “not a single Western journalist has bothered to interview Putin.”",0
"The presence of soft tissue and carbon-14 in dinosaur bones proves they lived “only a few thousand years” ago, not millions of years ago.",0
“George Soros worked for Hitler. Klaus Schwab’s father also worked for Hitler.”,0
“We think the Earth’s warming” because “we’re literally cooking the books” with flawed temperature data.,0
President Joe Biden admitted to using the Justice Department to pursue his political foes.,0
“Inflation has been at the pre-pandemic level of 2% over the last half year.”,1
"Taylor Swift was photographed holding a “Trump won, Democrats cheated!” flag at the Grammy Awards.",0
